,parent_image,image,total_vuls,link,description
5,nginx,schmunk42/nginx,2,https://hub.docker.com/r/schmunk42/nginx,0
28,nginx,jkoreska/nginx,2,https://hub.docker.com/r/jkoreska/nginx,no
71,nginx,pathwar/nginx,2,https://hub.docker.com/r/pathwar/nginx,no
20,nginx,autopilotpattern/nginx,18,https://hub.docker.com/r/autopilotpattern/nginx,0
19,nginx,verbling/nginx,19,https://hub.docker.com/r/verbling/nginx,no
27,nginx,vixlet/nginx,19,https://hub.docker.com/r/vixlet/nginx,0
68,nginx,magarvey/nginx,19,https://hub.docker.com/r/magarvey/nginx,no
11,nginx,nvucinic/nginx,21,https://hub.docker.com/r/nvucinic/nginx,0
16,nginx,kardasz/nginx,21,https://hub.docker.com/r/kardasz/nginx,no
29,nginx,maersk/nginx,21,https://hub.docker.com/r/maersk/nginx,no
131,cassandra,kubekit/cassandra,2,https://hub.docker.com/r/kubekit/cassandra,0
148,cassandra,pat2man/cassandra,2,https://hub.docker.com/r/pat2man/cassandra,no
169,cassandra,meabed/cassandra,2,https://hub.docker.com/r/meabed/cassandra,no
172,cassandra,meabed/cassandra,2,https://hub.docker.com/r/meabed/cassandra,no
177,cassandra,frosenberg/cassandra,2,https://hub.docker.com/r/frosenberg/cassandra,no
181,cassandra,huahaiy/cassandra,2,https://hub.docker.com/r/huahaiy/cassandra,0
183,cassandra,huahaiy/cassandra,2,https://hub.docker.com/r/huahaiy/cassandra,0
188,cassandra,stefanjacobs123/cassandra,2,https://hub.docker.com/r/stefanjacobs123/cassandra,no
210,cassandra,dnioqfp/cassandra,2,https://hub.docker.com/r/dnioqfp/cassandra,no
141,cassandra,stefanofontanelli/cassandra,16,https://hub.docker.com/r/stefanofontanelli/cassandra,no
241,java,gcarre/java,1,https://hub.docker.com/r/gcarre/java,0
242,java,gcarre/java,1,https://hub.docker.com/r/gcarre/java,0
239,java,jpgriffo/java,2,https://hub.docker.com/r/jpgriffo/java,no
253,java,mschoch/java,2,https://hub.docker.com/r/mschoch/java,0
240,java,tedneward/java,5,https://hub.docker.com/r/tedneward/java,0
252,java,gpdowning/java,6,https://hub.docker.com/r/gpdowning/java,no
249,java,dexec/java,19,https://hub.docker.com/r/dexec/java,0
245,java,sofitlabs/java,21,https://hub.docker.com/r/sofitlabs/java,no
246,java,bibbox/java,21,https://hub.docker.com/r/bibbox/java,no
250,java,naturalintelligence/java,21,https://hub.docker.com/r/naturalintelligence/java,no
262,mongo,kapost/mongo,1,https://hub.docker.com/r/kapost/mongo,no
267,mongo,coco/mongodb,1,https://hub.docker.com/r/coco/mongodb,no
281,mongo,imolko/mongodb,1,https://hub.docker.com/r/imolko/mongodb,0
322,mongo,teknologist/mongo,1,https://hub.docker.com/r/teknologist/mongo,0
344,mongo,dockerautomation1/mongo,1,https://hub.docker.com/r/dockerautomation1/mongo,no
345,mongo,dockerautomation1/mongo,1,https://hub.docker.com/r/dockerautomation1/mongo,no
346,mongo,mcuz/mongo,1,https://hub.docker.com/r/mcuz/mongo,0
347,mongo,mcuz/mongo,1,https://hub.docker.com/r/mcuz/mongo,0
348,mongo,aleksandrovd/mongo,1,https://hub.docker.com/r/aleksandrovd/mongo,no
259,mongo,buddy/mongo,2,https://hub.docker.com/r/buddy/mongo,0
356,mysql,google/mysql,2,https://hub.docker.com/r/google/mysql,no
384,mysql,tamurayoshiya/mysql,2,https://hub.docker.com/r/tamurayoshiya/mysql,no
395,mysql,rubinlab/mysql,2,https://hub.docker.com/r/rubinlab/mysql,0
400,mysql,ignatov/mysql,2,https://hub.docker.com/r/ignatov/mysql,0
447,mysql,horx/mysql,2,https://hub.docker.com/r/horx/mysql,0
448,mysql,ahmet2mir/mysql,2,https://hub.docker.com/r/ahmet2mir/mysql,0
454,mysql,atlo/mysql,2,https://hub.docker.com/r/atlo/mysql,no
469,mysql,irraz/mysql,2,https://hub.docker.com/r/irraz/mysql,0
479,mysql,kirklatslalom/mysql,2,https://hub.docker.com/r/kirklatslalom/mysql,no
485,mysql,karun74/mysql,2,https://hub.docker.com/r/karun74/mysql,0
,,,,,
"Note:  ""1"" means talked about security, ""0"" means did not talk about security, and  ""no"" means no description at all",,,,,
